"Id","Url","StatusCode","Title","CheckedAt","ArticleId","FileName","Status","LastTried","HttpStatus","Error","Notes"
"1","https://www.crowcanyon.help/article/1/","0","Missing Attachments in SharePoint Tickets - Crow Canyon Software Support","2025-08-14T10:48:13","1","1 - Missing Attachments in SharePoint Tickets.html","Done","2025-08-20T16:20:54","200","",""
"2","https://www.crowcanyon.help/article/2/","0","Default User Profile Properties - Crow Canyon Software Support","2025-08-14T10:48:15","2","2 - Default User Profile Properties.html","Done","2025-08-20T16:20:59","200","",""
"3","https://www.crowcanyon.help/article/3/","0","Configure Approver functionality using NITRO Workflow Manager – Workflow 1 - Crow Canyon Software Support","2025-08-14T10:48:16","3","3 - Configure Approver functionality using NITRO Workflow Manager – Workflow 1.html","Done","2025-08-20T16:21:08","200","",""
"4","https://www.crowcanyon.help/article/4/","0","Troubleshooting Steps For Crow Canyon Data Sync Service - Crow Canyon Software Support","2025-08-14T10:48:18","4","4 - Troubleshooting Steps For Crow Canyon Data Sync Service.html","Done","2025-08-20T16:21:18","200","",""
"6","https://www.crowcanyon.help/article/6/","0","How to use Graph API for sending mails from NITRO Workflow Manager and Advanced Approval apps - Crow Canyon Software Support","2025-08-14T10:48:21","6","6 - How to use Graph API for sending mails from NITRO Workflow Manager and Advanced Approval apps.html","Done","2025-08-20T16:21:24","200","",""
"7","https://www.crowcanyon.help/article/7/","0","Exclude non-business days and holidays while calculating due date using Form Event Actions in NITRO Forms - Crow Canyon Software Support","2025-08-14T10:48:23","7","7 - Exclude non-business days and holidays while calculating due date using Form Event Actions in NITRO Forms.html","Done","2025-08-20T16:21:31","200","",""
"9","https://www.crowcanyon.help/article/9/","0","SharePoint pie chart: Label Column Error - Crow Canyon Software Support","2025-08-14T10:48:26","9","9 - SharePoint pie chart_ Label Column Error.html","Done","2025-08-20T16:21:37","200","",""
"10","https://www.crowcanyon.help/article/10/","0","Missing Attachments in SharePoint Tickets - Crow Canyon Software Support","2025-08-14T10:48:28","10","10 - Missing Attachments in SharePoint Tickets.html","Done","2025-08-20T16:21:45","200","",""
"11","https://www.crowcanyon.help/article/11/","0","Modifying Column Names in Crow Canyon’s SharePoint applications (Issue Type) - Crow Canyon Software Support","2025-08-14T10:48:30","11","11 - Modifying Column Names in Crow Canyon’s SharePoint applications (Issue Type).html","Done","2025-08-20T16:21:51","200","",""
"12","https://www.crowcanyon.help/article/12/","0","Error during Site Collection Migration - Crow Canyon Software Support","2025-08-14T10:48:31","12","12 - Error during Site Collection Migration.html","Done","2025-08-20T16:21:58","200","",""
